,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Kavaratti,100,IN,1569500319,78,10.57,72.64,27.27,7.35
1,Albany,75,US,1569500258,67,42.65,-73.75,18.33,4.6
2,Zhigansk,100,RU,1569500321,74,66.77,123.37,4.37,5.27
3,Lagoa,0,PT,1569500323,56,37.14,-8.45,26.67,3.1
4,Rikitea,11,PF,1569500324,73,-23.12,-134.97,21.67,4.03
5,Touros,40,BR,1569500325,78,-5.2,-35.46,25.0,3.6
6,Kapaa,90,US,1569500326,88,22.08,-159.32,26.0,2.1
7,Severo-Kurilsk,81,RU,1569500328,84,50.68,156.12,8.67,15.02
8,Geraldton,75,CA,1569500329,100,49.72,-86.95,6.0,2.6
9,Riyadh,4,SA,1569499817,15,24.63,46.72,39.0,4.1
10,Ushuaia,40,AR,1569500246,65,-54.81,-68.31,5.0,4.1
11,Bhag,0,PK,1569500332,25,29.04,67.82,38.97,2.91
12,Jamestown,58,AU,1569500333,33,-33.21,138.6,13.57,3.18
13,Lincoln,49,GB,1569500335,77,53.23,-0.54,19.44,10.3
14,Bom Jesus,88,BR,1569500336,43,-9.08,-44.36,28.47,3.2
15,Carnarvon,0,ZA,1569500337,8,-30.97,22.13,24.97,6.56
16,Dauphin,75,CA,1569500338,87,51.15,-100.04,7.0,7.7
17,Aykhal,54,RU,1569500339,83,65.95,111.51,-1.63,6.19
18,Bredasdorp,0,ZA,1569500341,14,-34.53,20.04,22.0,5.1
19,Pangnirtung,75,CA,1569500342,48,66.15,-65.72,7.0,1.5
20,Qaanaaq,98,GL,1569500343,65,77.48,-69.36,-4.13,6.86
21,Punta Arenas,40,CL,1569500344,75,-53.16,-70.91,7.0,6.2
22,Tatishchevo,70,RU,1569500345,27,51.67,45.59,12.78,1.34
23,Hamilton,90,CA,1569500247,93,43.26,-79.87,16.67,2.1
24,Kruisfontein,0,ZA,1569500347,9,-34.0,24.73,32.37,2.64
25,Klaksvik,75,FO,1569500349,93,62.23,-6.59,12.0,16.5
26,Ancud,0,CL,1569500350,100,-41.87,-73.83,7.0,4.1
27,Caravelas,40,BR,1569500351,77,-17.73,-39.27,24.77,4.71
28,Ribeira Grande,75,PT,1569500352,88,38.52,-28.7,23.0,4.1
29,Muros,75,ES,1569500353,68,42.77,-9.06,21.11,6.2
30,Busselton,12,AU,1569500355,55,-33.64,115.35,15.56,6.99
31,Thompson,75,CA,1569500300,80,55.74,-97.86,1.0,2.6
32,Nikolskoye,75,RU,1569500357,61,59.7,30.79,12.22,4.0
33,Praia da Vitoria,20,PT,1569500360,78,38.73,-27.07,25.0,5.17
34,College,40,US,1569500361,97,64.86,-147.8,2.0,2.6
35,Davila,75,PH,1569500363,78,18.47,120.58,28.0,8.2
36,Luanda,75,AO,1569500274,65,-8.83,13.24,28.0,5.7
37,Bambous Virieux,75,MU,1569500365,100,-20.34,57.76,25.0,6.7
38,Buturlino,82,RU,1569500366,59,55.57,44.9,7.77,5.28
39,Ngunguru,16,NZ,1569500367,87,-35.62,174.5,8.33,0.89
40,Okhotsk,0,RU,1569500368,45,59.36,143.24,1.67,3.53
41,Laguna,40,BZ,1569500370,100,16.17,-88.94,24.0,1.22
42,Meulaboh,83,ID,1569500372,68,4.14,96.13,28.47,1.27
43,Saint-Philippe,90,CA,1569500373,77,45.36,-73.48,19.44,2.6
44,Tuktoyaktuk,100,CA,1569500374,78,69.44,-133.03,1.47,9.3
45,Banda Aceh,100,ID,1569500228,72,5.56,95.32,28.57,3.95
46,Provideniya,100,RU,1569500377,87,64.42,-173.23,0.07,3.13
47,Husavik,26,CA,1569500378,91,50.56,-96.99,6.11,1.79
48,Port Alfred,0,ZA,1569500379,70,-33.59,26.89,20.56,3.58
49,New Norfolk,0,AU,1569500380,58,-42.78,147.06,13.89,3.6
50,Sandpoint,90,US,1569500381,81,48.28,-116.55,14.44,2.1
51,Lavrentiya,88,RU,1569500383,79,65.58,-170.99,-0.13,1.46
52,East London,0,ZA,1569500384,49,-33.02,27.91,23.0,7.7
53,Atuona,12,PF,1569500109,78,-9.8,-139.03,25.97,6.66
54,Butaritari,11,KI,1569500110,69,3.07,172.79,29.37,5.23
55,Arlit,0,NE,1569500387,7,18.74,7.39,38.67,1.49
56,Pevek,0,RU,1569500389,70,69.7,170.27,0.57,2.51
57,Saint-Pierre,75,FR,1569500391,93,48.95,4.24,18.33,8.7
58,Hermanus,0,ZA,1569500393,47,-34.42,19.24,22.47,2.7
59,Beringovskiy,100,RU,1569500394,97,63.05,179.32,6.37,12.38
